ID,State,Date,Total_Deaths,New_Deaths
387,Alabama,2/11/2021,10024,35
388,Alabama,2/12/2021,10057,33
389,Alabama,2/13/2021,10082,25
390,Alabama,2/14/2021,10113,31
391,Alabama,2/15/2021,10141,28
392,Alabama,2/16/2021,10171,30
393,Alabama,2/17/2021,10202,31
394,Alabama,2/18/2021,10231,29
395,Alabama,2/19/2021,10266,35
396,Alabama,2/20/2021,10298,32
397,Alabama,2/21/2021,10332,34
398,Alabama,2/22/2021,10352,20
399,Alabama,2/23/2021,10374,22
400,Alabama,2/24/2021,10397,23
401,Alabama,2/25/2021,10419,22
402,Alabama,2/26/2021,10448,29
403,Alabama,2/27/2021,10467,19
404,Alabama,2/28/2021,10479,12
405,Alabama,3/1/2021,10496,17
406,Alabama,3/2/2021,10508,12
407,Alabama,3/3/2021,10518,10
408,Alabama,3/4/2021,10536,18
409,Alabama,3/5/2021,10555,19
410,Alabama,3/6/2021,10573,18
411,Alabama,3/7/2021,10587,14
412,Alabama,3/8/2021,10602,15
413,Alabama,3/9/2021,10617,15
414,Alabama,3/10/2021,10634,17
415,Alabama,3/11/2021,10644,10
416,Alabama,3/12/2021,10654,10
417,Alabama,3/13/2021,10671,17
418,Alabama,3/14/2021,10686,15
419,Alabama,3/15/2021,10696,10
420,Alabama,3/16/2021,10708,12
421,Alabama,3/17/2021,10726,18
422,Alabama,3/18/2021,10731,5
423,Alabama,3/19/2021,10737,6
424,Alabama,3/20/2021,10747,10
425,Alabama,3/21/2021,10761,14
426,Alabama,3/22/2021,10769,8
427,Alabama,3/23/2021,10778,9
428,Alabama,3/24/2021,10785,7
429,Alabama,3/25/2021,10803,18
430,Alabama,3/26/2021,10811,8
431,Alabama,3/27/2021,10819,8
432,Alabama,3/28/2021,10829,10
433,Alabama,3/29/2021,10838,9
434,Alabama,3/30/2021,10849,11
435,Alabama,3/31/2021,10853,4
436,Alabama,4/1/2021,10864,11
437,Alabama,4/2/2021,10871,7
438,Alabama,4/3/2021,10883,12
439,Alabama,4/4/2021,10891,8
440,Alabama,4/5/2021,10898,7
441,Alabama,4/6/2021,10906,8
442,Alabama,4/7/2021,10917,11
443,Alabama,4/8/2021,10920,3
444,Alabama,4/9/2021,10932,12
445,Alabama,4/10/2021,10936,4
446,Alabama,4/11/2021,10943,7
447,Alabama,4/12/2021,10947,4
448,Alabama,4/13/2021,10958,11
449,Alabama,4/14/2021,10964,6
450,Alabama,4/15/2021,10965,1
451,Alabama,4/16/2021,10968,3
452,Alabama,4/17/2021,10975,7
453,Alabama,4/18/2021,10981,6
454,Alabama,4/19/2021,10983,2
455,Alabama,4/20/2021,10990,7
456,Alabama,4/21/2021,10996,6
457,Alabama,4/22/2021,11000,4
458,Alabama,4/23/2021,11006,6
459,Alabama,4/24/2021,11019,13
460,Alabama,4/25/2021,11026,7
461,Alabama,4/26/2021,11031,5
462,Alabama,4/27/2021,11036,5
463,Alabama,4/28/2021,11041,5
464,Alabama,4/29/2021,11051,10
465,Alabama,4/30/2021,11056,5
466,Alabama,5/1/2021,11061,5
467,Alabama,5/2/2021,11065,4
468,Alabama,5/3/2021,11071,6
469,Alabama,5/4/2021,11081,10
470,Alabama,5/5/2021,11088,7
471,Alabama,5/6/2021,11097,9
472,Alabama,5/7/2021,11111,14
473,Alabama,5/8/2021,11117,6
474,Alabama,5/9/2021,11128,11
475,Alabama,5/10/2021,11131,3
476,Alabama,5/11/2021,11141,10
477,Alabama,5/12/2021,11146,5
478,Alabama,5/13/2021,11149,3
479,Alabama,5/14/2021,11157,8
480,Alabama,5/15/2021,11162,5
481,Alabama,5/16/2021,11172,10
482,Alabama,5/17/2021,11177,5
483,Alabama,5/18/2021,11182,5
484,Alabama,5/19/2021,11188,6
485,Alabama,5/20/2021,11194,6
486,Alabama,5/21/2021,11196,2
487,Alabama,5/22/2021,11199,3
488,Alabama,5/23/2021,11199,0
489,Alabama,5/24/2021,11203,4
490,Alabama,5/25/2021,11209,6
491,Alabama,5/26/2021,11209,0
492,Alabama,5/27/2021,11210,1
493,Alabama,5/28/2021,11210,0
494,Alabama,5/29/2021,11211,1
495,Alabama,5/30/2021,11212,1
496,Alabama,5/31/2021,11213,1
497,Alabama,6/1/2021,11214,1
498,Alabama,6/2/2021,11215,1
499,Alabama,6/3/2021,11215,0
500,Alabama,6/4/2021,11216,1
501,Alabama,6/5/2021,11217,1
502,Alabama,6/6/2021,11217,0
503,Alabama,6/7/2021,11218,1
504,Alabama,6/8/2021,11247,29
505,Alabama,6/9/2021,11250,3
506,Alabama,6/10/2021,11264,14
507,Alabama,6/11/2021,11272,8
508,Alabama,6/12/2021,11272,0
509,Alabama,6/13/2021,11272,0
510,Alabama,6/14/2021,11279,7
511,Alabama,6/15/2021,11303,24
512,Alabama,6/16/2021,11304,1
513,Alabama,6/17/2021,11304,0
514,Alaska,1/22/2020,0,0
515,Alaska,1/23/2020,0,0
516,Alaska,1/24/2020,0,0
517,Alaska,1/25/2020,0,0
518,Alaska,1/26/2020,0,0
519,Alaska,1/27/2020,0,0
520,Alaska,1/28/2020,0,0
521,Alaska,1/29/2020,0,0
522,Alaska,1/30/2020,0,0
523,Alaska,1/31/2020,0,0
524,Alaska,2/1/2020,0,0
525,Alaska,2/2/2020,0,0
526,Alaska,2/3/2020,0,0
527,Alaska,2/4/2020,0,0
528,Alaska,2/5/2020,0,0
529,Alaska,2/6/2020,0,0
530,Alaska,2/7/2020,0,0
531,Alaska,2/8/2020,0,0
532,Alaska,2/9/2020,0,0
533,Alaska,2/10/2020,0,0
534,Alaska,2/11/2020,0,0
535,Alaska,2/12/2020,0,0
536,Alaska,2/13/2020,0,0
537,Alaska,2/14/2020,0,0
538,Alaska,2/15/2020,0,0
539,Alaska,2/16/2020,0,0
540,Alaska,2/17/2020,0,0
541,Alaska,2/18/2020,0,0
542,Alaska,2/19/2020,0,0
543,Alaska,2/20/2020,0,0
544,Alaska,2/21/2020,0,0
545,Alaska,2/22/2020,0,0
546,Alaska,2/23/2020,0,0
547,Alaska,2/24/2020,0,0
548,Alaska,2/25/2020,0,0
549,Alaska,2/26/2020,0,0
550,Alaska,2/27/2020,0,0
551,Alaska,2/28/2020,0,0
552,Alaska,2/29/2020,0,0
553,Alaska,3/1/2020,0,0
554,Alaska,3/2/2020,0,0
555,Alaska,3/3/2020,0,0
556,Alaska,3/4/2020,0,0
557,Alaska,3/5/2020,0,0
558,Alaska,3/6/2020,0,0
559,Alaska,3/7/2020,0,0
560,Alaska,3/8/2020,0,0
561,Alaska,3/9/2020,0,0
562,Alaska,3/10/2020,0,0
563,Alaska,3/11/2020,0,0
564,Alaska,3/12/2020,0,0
565,Alaska,3/13/2020,0,0
566,Alaska,3/14/2020,0,0
567,Alaska,3/15/2020,0,0
568,Alaska,3/16/2020,0,0
569,Alaska,3/17/2020,1,1
570,Alaska,3/18/2020,1,0
571,Alaska,3/19/2020,1,0
572,Alaska,3/20/2020,1,0
573,Alaska,3/21/2020,1,0
574,Alaska,3/22/2020,1,0
575,Alaska,3/23/2020,1,0
576,Alaska,3/24/2020,1,0
577,Alaska,3/25/2020,1,0
578,Alaska,3/26/2020,3,2
579,Alaska,3/27/2020,3,0
580,Alaska,3/28/2020,4,1
581,Alaska,3/29/2020,5,1
582,Alaska,3/30/2020,6,1
583,Alaska,3/31/2020,6,0
584,Alaska,4/1/2020,6,0
585,Alaska,4/2/2020,6,0
586,Alaska,4/3/2020,6,0
587,Alaska,4/4/2020,6,0
588,Alaska,4/5/2020,7,1
589,Alaska,4/6/2020,7,0
590,Alaska,4/7/2020,7,0
591,Alaska,4/8/2020,8,1
592,Alaska,4/9/2020,9,1
593,Alaska,4/10/2020,9,0
594,Alaska,4/11/2020,9,0
595,Alaska,4/12/2020,9,0
596,Alaska,4/13/2020,9,0
597,Alaska,4/14/2020,9,0
598,Alaska,4/15/2020,9,0
599,Alaska,4/16/2020,9,0
600,Alaska,4/17/2020,9,0
601,Alaska,4/18/2020,9,0
602,Alaska,4/19/2020,9,0
603,Alaska,4/20/2020,9,0
604,Alaska,4/21/2020,9,0
605,Alaska,4/22/2020,9,0
606,Alaska,4/23/2020,9,0
607,Alaska,4/24/2020,9,0
608,Alaska,4/25/2020,9,0
609,Alaska,4/26/2020,9,0
610,Alaska,4/27/2020,9,0
611,Alaska,4/28/2020,9,0
612,Alaska,4/29/2020,9,0
613,Alaska,4/30/2020,9,0
614,Alaska,5/1/2020,10,1
615,Alaska,5/2/2020,10,0
616,Alaska,5/3/2020,10,0
617,Alaska,5/4/2020,10,0
618,Alaska,5/5/2020,10,0
619,Alaska,5/6/2020,10,0
620,Alaska,5/7/2020,10,0
621,Alaska,5/8/2020,10,0
622,Alaska,5/9/2020,10,0
623,Alaska,5/10/2020,10,0
624,Alaska,5/11/2020,10,0
625,Alaska,5/12/2020,10,0
626,Alaska,5/13/2020,10,0
627,Alaska,5/14/2020,11,1
628,Alaska,5/15/2020,11,0
629,Alaska,5/16/2020,11,0
630,Alaska,5/17/2020,11,0
631,Alaska,5/18/2020,11,0
632,Alaska,5/19/2020,11,0
633,Alaska,5/20/2020,11,0
634,Alaska,5/21/2020,11,0
635,Alaska,5/22/2020,11,0
636,Alaska,5/23/2020,11,0
637,Alaska,5/24/2020,11,0
638,Alaska,5/25/2020,11,0
639,Alaska,5/26/2020,11,0
640,Alaska,5/27/2020,11,0
641,Alaska,5/28/2020,11,0
642,Alaska,5/29/2020,11,0
643,Alaska,5/30/2020,12,1
644,Alaska,5/31/2020,13,1
645,Alaska,6/1/2020,13,0
646,Alaska,6/2/2020,13,0
647,Alaska,6/3/2020,14,1
648,Alaska,6/4/2020,14,0
649,Alaska,6/5/2020,14,0
650,Alaska,6/6/2020,15,1
651,Alaska,6/7/2020,15,0
652,Alaska,6/8/2020,15,0
653,Alaska,6/9/2020,15,0
654,Alaska,6/10/2020,15,0
655,Alaska,6/11/2020,15,0
656,Alaska,6/12/2020,15,0
657,Alaska,6/13/2020,15,0
658,Alaska,6/14/2020,15,0
659,Alaska,6/15/2020,16,1
660,Alaska,6/16/2020,16,0
661,Alaska,6/17/2020,16,0
662,Alaska,6/18/2020,16,0
663,Alaska,6/19/2020,16,0
664,Alaska,6/20/2020,16,0
665,Alaska,6/21/2020,16,0
666,Alaska,6/22/2020,16,0
667,Alaska,6/23/2020,16,0
668,Alaska,6/24/2020,16,0
669,Alaska,6/25/2020,16,0
670,Alaska,6/26/2020,17,1
671,Alaska,6/27/2020,17,0
672,Alaska,6/28/2020,17,0
673,Alaska,6/29/2020,17,0
674,Alaska,6/30/2020,17,0
675,Alaska,7/1/2020,18,1
676,Alaska,7/2/2020,18,0
677,Alaska,7/3/2020,18,0
678,Alaska,7/4/2020,18,0
679,Alaska,7/5/2020,18,0
680,Alaska,7/6/2020,18,0
681,Alaska,7/7/2020,18,0
682,Alaska,7/8/2020,18,0
683,Alaska,7/9/2020,20,2
684,Alaska,7/10/2020,21,1
685,Alaska,7/11/2020,21,0
686,Alaska,7/12/2020,21,0
687,Alaska,7/13/2020,21,0
688,Alaska,7/14/2020,22,1
689,Alaska,7/15/2020,25,3
690,Alaska,7/16/2020,27,2
691,Alaska,7/17/2020,27,0
692,Alaska,7/18/2020,27,0
693,Alaska,7/19/2020,27,0
694,Alaska,7/20/2020,28,1
695,Alaska,7/21/2020,28,0
696,Alaska,7/22/2020,30,2
697,Alaska,7/23/2020,30,0
698,Alaska,7/24/2020,30,0
699,Alaska,7/25/2020,32,2
700,Alaska,7/26/2020,32,0
701,Alaska,7/27/2020,32,0
702,Alaska,7/28/2020,33,1
703,Alaska,7/29/2020,33,0
704,Alaska,7/30/2020,33,0
705,Alaska,7/31/2020,33,0
706,Alaska,8/1/2020,34,1
707,Alaska,8/2/2020,36,2
708,Alaska,8/3/2020,36,0
709,Alaska,8/4/2020,37,1
710,Alaska,8/5/2020,38,1
711,Alaska,8/6/2020,38,0
712,Alaska,8/7/2020,40,2
713,Alaska,8/8/2020,40,0
714,Alaska,8/9/2020,42,2
715,Alaska,8/10/2020,42,0
716,Alaska,8/11/2020,42,0
717,Alaska,8/12/2020,43,1
718,Alaska,8/13/2020,43,0
719,Alaska,8/14/2020,46,3
720,Alaska,8/15/2020,46,0
721,Alaska,8/16/2020,47,1
722,Alaska,8/17/2020,50,3
723,Alaska,8/18/2020,50,0
724,Alaska,8/19/2020,50,0
725,Alaska,8/20/2020,50,0
726,Alaska,8/21/2020,50,0
727,Alaska,8/22/2020,50,0
728,Alaska,8/23/2020,50,0
729,Alaska,8/24/2020,50,0
730,Alaska,8/25/2020,50,0
731,Alaska,8/26/2020,50,0
732,Alaska,8/27/2020,52,2
733,Alaska,8/28/2020,52,0
734,Alaska,8/29/2020,52,0
735,Alaska,8/30/2020,52,0
736,Alaska,8/31/2020,52,0
737,Alaska,9/1/2020,52,0
738,Alaska,9/2/2020,53,1
739,Alaska,9/3/2020,53,0
740,Alaska,9/4/2020,55,2
741,Alaska,9/5/2020,55,0
742,Alaska,9/6/2020,56,1
743,Alaska,9/7/2020,57,1
744,Alaska,9/8/2020,58,1
745,Alaska,9/9/2020,58,0
746,Alaska,9/10/2020,58,0
747,Alaska,9/11/2020,58,0
748,Alaska,9/12/2020,59,1
749,Alaska,9/13/2020,59,0
750,Alaska,9/14/2020,59,0
751,Alaska,9/15/2020,59,0
